team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,71,1746,15.1,1,6,0,7,18,0,0,0,6,0,0,4,259,327.2,227,92,322.5,129,81,248.0,164,95,89.8,179,92,5.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,43,4,96,0.9,0,0,0,1,0,0,0,0,0,0,0,0,13,9.8,467,195,6.3,435,197,0.0,546,217,1.6,482,202,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,44,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,595,78,0.0,585,79,0.0,569,77,0.0,598,78,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,44,8,113,1.8,0,0,0,1,0,0,0,0,0,0,0,1,31,27.8,445,167,1.7,457,173,0.0,556,212,3.0,467,172,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,534,198,0.0,516,199,0.0,485,190,0.0,536,198,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,528,44,0.0,510,23,0.0,479,15,0.0,530,44,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,540,202,0.0,522,203,0.0,491,194,0.0,542,202,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,41,39,1024,9.5,1,1,0,2,28,0,0,0,1,0,0,7,224,254.6,273,109,324.1,127,29,67.0,324,110,64.6,253,78,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,42,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,561,210,0.0,545,211,0.0,518,204,0.0,563,210,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,42,22,1088,5.2,0,0,0,2,25,0,0,0,2,0,0,0,163,157.6,341,132,79.7,297,93,29.0,374,135,26.7,368,133,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,44,34,1544,7.7,1,0,1,2,34,0,0,0,3,0,0,0,204,352.8,209,78,33.0,372,132,248.0,163,25,63.4,255,80,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,54,5,111,0.9,0,0,0,0,6,0,0,0,1,0,0,0,14,3.4,489,70,12.2,421,63,24.0,386,65,3.8,457,64,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,43,15,537,3.5,0,0,0,1,12,0,0,0,0,0,15,0,90,101.2,383,29,0.0,564,51,0.0,542,46,10.2,422,29,0.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,57,83,1526,14.6,3,5,2,6,29,0,0,0,4,0,0,9,328,384.8,193,77,551.8,44,34,317.0,129,69,125.3,103,59,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,59,149,3233,25.3,8,7,4,7,63,0,0,1,8,0,0,19,601,826.6,28,8,1209.2,4,3,837.0,37,17,287.0,10,6,14.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,52,93,2046,17.9,4,5,0,5,48,0,0,0,3,0,0,0,281,383.2,195,78,482.2,60,44,655.0,51,27,152.0,65,37,0.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,52,84,2312,16.2,3,3,0,6,41,0,0,0,3,0,0,4,321,458.6,148,57,503.3,54,40,499.0,76,38,145.9,73,43,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,48,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,644,264,0.0,638,265,0.0,633,265,0.0,646,266,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,596,231,0.0,586,232,0.0,570,226,0.0,599,234,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,42,25,534,6.0,0,1,0,1,7,0,0,0,0,0,0,0,43,27.8,444,185,71.7,310,164,212.0,187,101,29.9,359,156,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,44,12,190,2.7,0,0,0,0,6,0,0,0,0,0,0,0,37,13.4,462,193,27.2,390,187,13.0,408,188,5.5,449,191,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,57,17,329,3.0,0,1,0,2,5,0,0,0,0,0,0,0,48,47.0,425,176,56.9,335,171,73.0,318,156,17.3,401,173,0.2
