team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,78,2377,16.6,2,4,1,5,38,0,0,0,7,1,0,6,409,440.8,301.0,203.0,94.5,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,47,2140,10.7,0,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130.0,76.6,1.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,50,10,63,2.0,1,0,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59.0,11.4,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,1,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,4,63,0.9,0,0,0,1,1,0,0,0,0,0,0,0,4,1.0,2.5,23.0,2.7,0.0
3.0,2.0,48.0,2.0,82.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.4,2.0,0.0,2.1,0.1,Carl,Jenkinson,3.0,2.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,3,2,45,4,165,0.9,0,0,0,0,3,0,0,0,0,0,0,0,16,26.8,16.9,8.0,5.2,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,57,4,67,0.7,0,0,0,0,1,0,0,0,0,0,0,0,11,8.4,4.8,0.0,1.4,0.1
8.0,1.0,46.0,2.0,180.0,0.4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,13.2,0.0,0.0,1.3,0.2,Asmir,Begovic,91.0,1.0,45.0,112.0,3420.0,24.9,0.0,0.0,3.0,6.0,61.0,0.0,1.0,0.0,2.0,0.0,111.0,6.0,631.0,790.8,20.0,0.0,80.8,4.1,91,1,43,63,2160,14.7,0,0,0,5,47,0,0,0,0,0,59,4,363,440.6,0.0,0.0,44.2,2.7
91.0,1.0,45.0,120.0,3150.0,26.7,0.0,0.0,2.0,9.0,63.0,0.0,2.0,0.0,2.0,0.0,115.0,7.0,657.0,815.4,10.0,0.0,82.4,6.2,Artur,Boruc,91.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,91,1,41,46,1080,11.2,0,0,1,4,18,0,0,0,2,0,39,4,218,302.0,0.0,0.0,30.3,8.6
