team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,team_code_20_21,element_type_20_21,now_cost_20_21,total_points_20_21,minutes_20_21,value_season_20_21,goals_scored_20_21,assists_20_21,dreamteam_count_20_21,clean_sheets_20_21,goals_conceded_20_21,own_goals_20_21,penalties_saved_20_21,penalties_missed_20_21,yellow_cards_20_21,red_cards_20_21,saves_20_21,bonus_20_21,bps_20_21,influence_20_21,influence_rank_20_21,influence_rank_type_20_21,creativity_20_21,creativity_rank_20_21,creativity_rank_type_20_21,threat_20_21,threat_rank_20_21,threat_rank_type_20_21,ict_index_20_21,ict_index_rank_20_21,ict_index_rank_type_20_21,selected_by_percent_20_21,first_name,second_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,1,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,47,71,1746,15.1,1,6,0,7,18,0,0,0,6,0,0,4,259,327.2,227,92,322.5,129,81,248,164,95,89.8,179,92,5.7,3,3,51,114,2554,22.4,5,5,2,8,31,1,0,0,1,0,0,8,414,493,137,50,650.6,37,28,984,20,8,212.7,27,18,7.2,Bukayo,Saka
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,44,47,2140,10.7,0,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130,76.6,1.6,3,3,41,48,1744,11.7,0,2,0,3,31,0,0,0,6,0,0,2,272,333.6,222,90,235.1,177,111,146,240,126,71.6,225,112,7.1,3,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679,281,0,671,281,0,664,279,0,682,281,0.1,Matteo,Guendouzi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,42,39,656,9.3,3,1,0,2,9,0,0,0,1,0,0,5,129,162.8,337,41,36.6,366,54,226,177,49,42.5,327,48,1.8,3,3,49,36,582,7.3,2,1,0,4,3,0,0,0,0,0,0,0,107,142.6,342,145,133.8,233,141,300,132,77,57.5,265,123,0.3,Gabriel Teodoro,Martinelli Silva
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,214,0,538,214,0,515,204,0,568,214,0.4,William,Saliba
,,,,,,,,,,,,,,,,,,,,,,,,36,1,46,146,3420,31.7,0,0,3,10,54,0,2,0,0,0,124,13,726,911.6,0,0,91.1,3.4,36,1,44,104,3060,23.6,0,0,0,6,55,0,0,0,2,0,97,11,547,707,0,0,70.9,4.9,36,1,47,135,3420,28.7,0,0,0,9,54,0,0,0,0,0,117,14,754,1000,10,3,0,632,64,0,625,61,100.1,150,3,11.5,3,1,41,37,1260,9,0,0,0,3,21,0,0,0,1,0,24,0,216,193.6,293,23,10.7,418,4,2,440,4,20.6,383,23,5.6,Mathew,Ryan
8,3,70,114,1534,16.3,8,3,4,6,19,0,0,0,3,0,0,13,441,491.4,809.4,522,182.1,3.5,8,3,70,130,1874,18.6,6,8,3,9,19,0,0,0,1,0,0,13,522,640,891.5,715,224.5,12.6,8,3,71,108,2091,15.2,3,7,0,11,25,0,0,0,2,0,0,6,475,557.6,1165.5,742,246.7,3.8,8,3,73,168,2595,23,9,9,7,10,35,0,0,0,4,0,0,26,698,834.8,26,7,1177.7,7,6,930,30,14,294.6,8,5,10.7,3,3,75,78,1398,10.4,1,7,1,3,17,0,0,0,0,0,0,9,306,256.2,260,111,534.8,52,39,228,171,94,102.3,139,79,2.7,Willian,Borges Da Silva
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,49,78,1996,15.9,2,0,1,6,24,0,0,0,2,1,0,7,385,464.8,154,61,51,341,115,233,168,31,74.9,218,67,4.6,Gabriel,Magalhães
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,52,57,1687,11,0,2,1,7,21,0,0,0,1,0,0,3,310,346.4,215,88,439.9,79,55,130,250,129,91.7,172,86,3,3,3,47,62,1609,13.2,0,4,0,6,17,0,0,0,4,0,0,7,331,359.8,207,83,422.3,77,55,141,249,125,92.4,166,90,0.7,Daniel,Ceballos Fernández
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,42,50,1538,11.9,1,0,1,5,20,0,0,0,3,0,0,3,258,200.2,288,123,99.9,271,156,79,316,157,37.8,332,147,1.3,Mohamed Naser,El Sayed Elneny
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,44,0,510,23,0,479,15,0,530,44,0,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,53,0,509,26,0,485,21,0,541,53,0.9,Matt,Macey
