team_code_21_22,element_type_21_22,now_cost_21_22,total_points_21_22,minutes_21_22,value_season_21_22,goals_scored_21_22,assists_21_22,dreamteam_count_21_22,clean_sheets_21_22,goals_conceded_21_22,own_goals_21_22,penalties_saved_21_22,penalties_missed_21_22,yellow_cards_21_22,red_cards_21_22,saves_21_22,bonus_21_22,bps_21_22,influence_21_22,influence_rank_21_22,influence_rank_type_21_22,creativity_21_22,creativity_rank_21_22,creativity_rank_type_21_22,threat_21_22,threat_rank_21_22,threat_rank_type_21_22,ict_index_21_22,ict_index_rank_21_22,ict_index_rank_type_21_22,selected_by_percent_21_22
36,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,560,208,0.0,548,208,0.0,516,202,0.0,564,208,0.0
36,3,45,2,23,0.4,0,0,0,0,0,0,0,0,0,0,0,0,5,4.6,491,214,12.8,423,204,8.0,426,206,2.5,481,211,0.0
36,3,45,27,660,6.0,1,1,0,4,6,0,0,0,2,0,0,1,124,136.8,359,147,49.9,351,179,92.0,305,156,27.9,372,167,0.1
36,2,39,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,527,189,0.0,510,188,0.0,477,181,0.0,531,189,0.2
36,2,49,126,3089,25.7,1,1,1,11,39,0,0,0,6,0,0,21,673,659.6,59,20,671.9,23,7,181.0,223,56,151.6,61,7,4.1
36,4,44,1,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,601,66,1.1,465,61,3.0,440,63,0.1,513,65,0.9
36,3,45,5,44,1.1,0,0,0,0,2,0,0,0,0,0,0,0,15,2.8,498,218,2.4,456,215,2.0,451,216,0.8,501,219,0.0
36,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,564,210,0.0,552,210,0.0,520,204,0.0,568,210,0.0
36,3,45,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,654,257,0.0,651,258,0.0,639,257,0.0,656,257,0.0
36,4,45,1,22,0.2,0,0,0,0,1,0,0,0,0,0,0,0,4,2.0,506,63,4.8,448,59,2.0,453,65,0.9,497,62,0.4
36,1,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,541,57,0.0,528,37,0.0,495,22,0.0,545,57,0.0
36,2,40,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,562,209,0.0,550,209,0.0,518,203,0.0,566,209,0.0
90,2,49,83,3106,16.9,1,2,1,7,51,1,0,0,11,0,0,5,486,881.4,12,1,106.8,279,82,307.0,145,22,129.7,88,14,1.3
90,2,39,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,517,185,0.0,498,184,0.0,464,176,0.0,521,185,0.5
90,2,41,37,726,9.0,0,1,1,4,5,0,0,0,1,0,0,1,157,179.0,325,127,43.4,364,133,48.0,357,127,27.0,379,134,0.1
90,3,44,48,1670,10.9,1,0,1,6,26,0,0,0,4,0,0,3,143,168.0,337,137,103.9,284,156,72.0,326,166,34.3,342,151,0.1
90,3,44,4,123,0.9,0,0,0,1,0,0,0,0,1,0,0,0,11,12.8,476,205,12.4,425,205,1.0,456,218,2.6,478,210,0.0
90,2,40,7,408,1.8,0,0,0,0,7,0,0,0,1,0,0,0,31,28.4,451,169,0.2,488,180,20.0,397,147,4.9,458,167,0.2
90,4,51,60,1365,11.8,2,3,1,6,15,0,0,0,3,0,0,4,159,176.4,330,42,166.0,225,35,455.0,88,34,78.4,215,38,1.2
90,4,52,32,793,6.2,1,0,0,1,19,0,0,0,4,0,0,2,60,77.0,405,50,90.7,297,45,192.0,217,49,34.5,341,49,1.1
90,2,46,74,1839,16.1,3,0,2,6,25,1,0,0,3,0,0,3,325,463.8,136,54,63.4,331,110,238.0,183,35,76.6,219,63,0.6
