team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,first_name,second_name
90,2,45,91,3230,20.2,1,1,0,8,53,0,0,0,5,0,0,3,596,644.6,409.9,128,118.3,1.6,90,2,48,102,2460,21.3,1,1,1,9,27,0,0,0,1,0,0,9,484,498.4,270.9,82,85.4,8.5,Stephen,Ward
90,2,40,23,568,5.8,0,0,0,1,11,0,0,0,1,0,0,0,111,146.2,53.4,81,27.5,1.8,90,2,46,101,2790,22,0,1,0,11,30,0,0,0,5,0,0,4,539,822,98.4,253,117.8,5.1,James,Tarkowski
90,2,40,3,270,0.8,0,0,0,0,6,0,0,0,0,0,0,0,39,56.4,0.2,4,6.1,0.1,90,2,41,57,1440,13.9,1,2,0,4,21,1,0,0,1,0,0,6,282,460,64.8,220,74.5,7.5,Kevin,Long
,,,,,,,,,,,,,,,,,,,,,,,,90,2,42,23,949,5.5,0,0,0,2,12,0,0,0,3,0,0,0,132,184.2,86.8,4,27.5,0.4,Charlie,Taylor
90,3,52,69,2103,13.3,1,2,1,6,36,0,0,0,3,0,0,3,253,210.2,556.5,393,115.7,0.1,90,3,49,56,1330,11.4,2,2,2,6,15,0,0,0,3,0,0,6,185,233.2,120.2,246,60.1,0.2,Scott,Arfield
90,3,43,51,1764,11.9,1,2,0,5,28,0,0,0,7,0,0,1,239,244.4,88.7,73,40.5,0.4,90,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dean,Marney
90,3,48,47,999,9.8,1,3,1,3,19,0,0,0,1,0,0,3,187,220,267.3,161,64.8,0.1,90,3,50,117,2831,23.4,2,9,1,10,33,0,0,0,2,0,0,7,467,599,1052,539,219.2,1.9,Johann Berg,Gudmundsson
90,3,56,54,1068,9.6,1,3,0,5,13,0,0,0,1,0,0,6,245,249.2,386.4,96,73.3,0.2,90,3,54,62,1998,11.5,1,1,0,12,17,0,0,0,6,0,0,0,353,353.8,310.8,117,78.4,0.3,Steven,Defour
90,3,53,76,2691,14.3,2,1,0,9,47,0,0,0,6,1,0,1,286,284.6,234.4,259,77.4,0.1,90,3,54,85,2326,15.7,2,2,0,9,28,0,0,0,1,0,0,1,307,265.6,408.2,335,100.9,0.2,Jeff,Hendrick
90,3,55,39,719,7.1,1,3,0,1,11,0,0,0,1,0,0,4,143,151.2,253,116,51.6,0.2,90,3,53,56,1277,10.6,1,4,1,6,12,0,0,0,3,0,0,7,216,273.8,477.9,221,97.3,0.4,Robbie,Brady
90,3,45,13,551,2.9,0,0,0,1,9,0,0,0,3,0,0,0,68,50.8,64.3,2,11.8,0,90,3,43,35,1105,8.1,0,1,0,2,17,0,0,0,2,0,0,1,189,182.4,134.8,90,40.7,0.1,Ashley,Westwood
110,3,53,72,1304,13.6,4,3,0,6,22,0,0,0,1,0,0,3,195,294,198.7,487,98,0.1,90,3,51,3,36,0.6,0,0,0,0,2,0,0,0,0,0,0,0,3,1.2,0.7,12,1.1,0.1,Jonathan,Walters
