team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name,assists_gw1_17_18,attempted_passes_gw1_17_18,big_chances_created_gw1_17_18,big_chances_missed_gw1_17_18,bonus_gw1_17_18,bps_gw1_17_18,clean_sheets_gw1_17_18,clearances_blocks_interceptions_gw1_17_18,completed_passes_gw1_17_18,creativity_gw1_17_18,dribbles_gw1_17_18,ea_index_gw1_17_18,errors_leading_to_goal_gw1_17_18,errors_leading_to_goal_attempt_gw1_17_18,fouls_gw1_17_18,goals_conceded_gw1_17_18,goals_scored_gw1_17_18,ict_index_gw1_17_18,influence_gw1_17_18,key_passes_gw1_17_18,loaned_in_gw1_17_18,loaned_out_gw1_17_18,minutes_gw1_17_18,offside_gw1_17_18,open_play_crosses_gw1_17_18,opponent_team_gw1_17_18,own_goals_gw1_17_18,penalties_conceded_gw1_17_18,penalties_missed_gw1_17_18,penalties_saved_gw1_17_18,recoveries_gw1_17_18,red_cards_gw1_17_18,saves_gw1_17_18,selected_gw1_17_18,tackled_gw1_17_18,tackles_gw1_17_18,target_missed_gw1_17_18,team_a_score_gw1_17_18,team_h_score_gw1_17_18,threat_gw1_17_18,total_points_gw1_17_18,transfers_balance_gw1_17_18,transfers_in_gw1_17_18,transfers_out_gw1_17_18,value_gw1_17_18,winning_goals_gw1_17_18,yellow_cards_gw1_17_18,team_code_17_18_gw1_17_18
80.0,2.0,46.0,94.0,2430.0,20.4,4.0,0.0,3.0,7.0,45.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,541.0,678.0,62.0,302.0,104.2,1.9,Alfie,Mawson,0,41,0,0,0,26,1,9,36,0.2,0,0,0,0,0,0,0,2.2,21.4,0,0,0,90,0,0,14,0,0,0,0,2,0,0,54205,0,0,0,0,0,0.0,6,0,0,0,50,0,0,80
35.0,2.0,44.0,74.0,2638.0,16.8,0.0,2.0,1.0,5.0,39.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,419.0,461.0,214.3,109.0,78.3,1.3,Allan-Roméo,Nyom,0,26,0,0,0,24,1,3,19,1.1,0,0,0,0,0,0,0,1.7,15.6,0,0,0,90,0,0,2,0,0,0,0,7,0,0,13029,1,2,0,0,1,0.0,6,0,0,0,50,0,0,35
1.0,3.0,62.0,97.0,2465.0,15.6,1.0,6.0,1.0,13.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,559.0,593.2,720.8,276.0,159.2,2.2,Ander,Herrera,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,204440,0,0,0,0,4,0.0,0,0,0,0,55,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,Andreas,Christensen,0,46,0,0,0,16,0,2,42,11.4,1,0,0,0,0,3,0,2.8,12.6,1,0,0,73,0,0,4,0,0,0,0,4,0,0,5068,0,0,0,3,2,4.0,1,0,0,0,55,0,0,8
1.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andreas,Pereira,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4259,0,0,0,0,4,0.0,0,0,0,0,50,0,0,1
88.0,2.0,44.0,73.0,2736.0,16.6,1.0,2.0,0.0,5.0,59.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,488.0,502.6,352.8,100.0,95.6,1.9,Andrew,Robertson,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,70031,0,0,0,3,3,0.0,0,0,0,0,50,0,0,14
91.0,3.0,46.0,44.0,1800.0,9.6,0.0,1.0,0.0,4.0,38.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,288.0,256.8,223.8,90.0,57.0,0.1,Andrew,Surman,0,106,0,0,0,14,0,3,93,17.6,0,0,0,0,0,1,0,4.0,21.6,1,0,0,90,0,0,19,0,0,0,0,4,0,0,29900,0,1,1,0,1,1.0,2,0,0,0,45,0,0,91
90.0,4.0,60.0,108.0,2260.0,18.0,9.0,3.0,1.0,8.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,303.0,415.6,320.2,648.0,137.4,4.0,Andre,Gray,0,5,0,0,0,4,0,0,5,2.9,0,0,0,0,0,0,0,0.5,2.2,0,0,0,27,0,0,10,0,0,0,0,0,0,0,95817,1,1,0,3,3,0.0,1,0,0,0,65,0,0,57
31.0,3.0,57.0,116.0,2520.0,20.4,3.0,7.0,2.0,7.0,38.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,492.0,552.4,852.4,511.0,191.3,2.2,Andros,Townsend,0,14,1,0,0,13,0,0,8,16.3,3,0,0,0,0,1,0,2.7,8.2,2,0,0,45,0,0,8,0,0,0,0,1,0,0,117997,2,2,0,3,0,2.0,1,0,0,0,60,0,0,31
21.0,3.0,71.0,89.0,1439.0,12.5,6.0,3.0,1.0,6.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,257.0,324.4,233.4,505.0,105.6,1.0,André,Ayew,0,30,0,0,0,7,0,0,25,8.7,0,0,0,0,0,4,0,1.0,1.4,0,0,0,90,1,0,12,0,0,0,0,3,0,0,92244,3,0,0,0,4,0.0,2,0,0,0,70,0,0,80
21.0,4.0,59.0,69.0,1312.0,11.7,7.0,2.0,1.0,3.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,256.0,351.8,220.8,620.0,119.2,2.0,Andy,Carroll,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4252,0,0,0,0,4,0.0,0,0,0,0,60,0,0,21
13.0,3.0,47.0,41.0,1446.0,8.7,1.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,217.0,258.4,122.7,167.0,54.9,0.2,Andy,King,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33071,0,0,0,3,4,0.0,0,0,0,0,45,0,0,80
21.0,2.0,47.0,45.0,1755.0,9.6,0.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,322.0,384.4,82.4,51.0,51.6,0.7,Angelo,Ogbonna,0,44,0,0,0,10,0,9,35,0.5,0,0,0,0,0,4,0,1.4,13.2,0,0,0,90,0,0,12,0,0,0,0,4,0,0,48392,0,0,0,0,4,0.0,-1,0,0,0,45,0,1,21
80.0,2.0,41.0,26.0,831.0,6.3,1.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,190.0,221.8,122.7,54.0,40.0,0.2,Angel,Rangel,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,847779,0,0,0,0,0,0.0,0,0,0,0,40,0,0,80
,,,,,,,,,,,,,,,,,,,,,,,,Anthony,Knockaert,0,4,0,0,0,5,0,0,2,5.2,0,0,0,0,0,0,0,0.9,2.0,0,0,0,13,0,1,11,0,0,0,0,0,0,0,87634,1,1,0,2,0,2.0,1,0,0,0,60,0,0,36
1.0,3.0,92.0,95.0,1553.0,10.3,4.0,6.0,3.0,9.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,302.0,382.8,399.1,579.0,136.2,2.5,Anthony,Martial,1,7,0,0,1,32,0,0,6,11.1,1,0,0,0,0,0,1,8.4,51.4,1,0,0,10,0,0,20,0,0,0,0,0,0,0,38558,0,0,0,0,4,21.0,10,0,0,0,80,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,Antonio,Rüdiger,0,72,0,0,0,11,0,9,65,2.0,0,0,0,0,3,3,0,3.3,21.8,0,0,0,90,0,0,4,0,0,0,0,1,0,0,121610,0,1,1,3,2,9.0,0,0,0,0,60,0,1,8
1.0,2.0,58.0,120.0,2483.0,20.7,1.0,3.0,2.0,12.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,612.0,547.2,614.8,243.0,140.6,12.4,Antonio,Valencia,0,40,0,0,0,22,1,5,37,17.2,1,0,0,0,3,0,0,4.5,19.4,1,0,0,90,0,1,20,0,0,0,0,4,0,0,362470,2,0,0,0,4,8.0,5,0,0,0,65,0,1,1
21.0,2.0,47.0,34.0,972.0,7.2,0.0,1.0,0.0,3.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,253.0,219.8,126.7,18.0,36.4,0.1,Arthur,Masuaku,0,24,0,0,0,14,0,6,21,1.8,0,0,0,1,1,2,0,2.2,20.2,0,0,0,80,0,0,12,0,0,0,0,4,0,0,10420,0,3,0,0,4,0.0,1,0,0,0,45,0,0,21
91.0,1.0,45.0,120.0,3150.0,26.7,0.0,0.0,2.0,9.0,63.0,0.0,2.0,0.0,2.0,0.0,115.0,7.0,657.0,815.4,10.0,0.0,82.4,6.2,Artur,Boruc,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,208181,0,0,0,0,1,0.0,0,0,0,0,45,0,0,91
90.0,4.0,46.0,81.0,1774.0,17.6,6.0,3.0,2.0,6.0,27.0,0.0,0.0,0.0,6.0,1.0,0.0,10.0,241.0,328.8,277.1,663.0,125.5,4.3,Ashley,Barnes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,39759,0,0,0,3,2,0.0,0,0,0,0,55,0,0,90
21.0,4.0,50.0,16.0,367.0,3.2,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,30.6,64.2,160.0,24.4,0.2,Ashley,Fletcher,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,41694,0,0,0,0,4,0.0,0,0,0,0,45,0,0,21
90.0,3.0,45.0,13.0,551.0,2.9,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,68.0,50.8,64.3,2.0,11.8,0.0,Ashley,Westwood,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4739,0,0,0,3,2,0.0,0,0,0,0,45,0,0,90
11.0,2.0,52.0,127.0,3160.0,24.4,1.0,3.0,2.0,13.0,40.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,739.0,927.6,119.1,289.0,133.9,8.7,Ashley,Williams,0,35,0,0,0,10,0,7,35,0.1,0,0,0,0,2,0,0,1.8,17.8,0,0,0,45,0,0,15,0,0,0,0,0,0,0,226751,0,0,0,0,1,0.0,1,0,0,0,55,0,0,11
