team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,team_code_18_19,element_type_18_19,now_cost_18_19,total_points_18_19,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,team_code_19_20,element_type_19_20,now_cost_19_20,total_points_19_20,minutes_19_20,value_season_19_20,goals_scored_19_20,assists_19_20,dreamteam_count_19_20,clean_sheets_19_20,goals_conceded_19_20,own_goals_19_20,penalties_saved_19_20,penalties_missed_19_20,yellow_cards_19_20,red_cards_19_20,saves_19_20,bonus_19_20,bps_19_20,influence_19_20,influence_rank_19_20,influence_rank_type_19_20,creativity_19_20,creativity_rank_19_20,creativity_rank_type_19_20,threat_19_20,threat_rank_19_20,threat_rank_type_19_20,ict_index_19_20,ict_index_rank_19_20,ict_index_rank_type_19_20,selected_by_percent_19_20,first_name,second_name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3,1,44,33,770,7.5,0,0,0,3,9,0,0,0,2,0,34,1,169,256.8,272,23,0,575,56,0,557,51,25.8,372,23,3.8,Emiliano,Martínez
25,2,43,83,2250,19.3,2,1,0,7,37,0,0,0,4,0,0,7,499,692.2,107,80,88,3.4,3,2,47,23,864,4.9,0,0,0,2,14,0,0,0,1,0,0,0,171,227.8,40,134,40.2,0.4,54,2,42,60,2586,14.3,2,0,0,5,52,0,0,0,9,0,0,0,431,609,231.9,401,124.5,1.1,3,2,43,42,1102,9.8,1,1,0,3,15,0,0,0,5,0,0,5,197,272,261,103,113.5,262,74,203,199,41,58.7,274,87,0.6,Calum,Chambers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,52,57,1687,11,0,2,1,7,21,0,0,0,1,0,0,3,310,346.4,215,88,439.9,79,55,130,250,129,91.7,172,86,3,Daniel,Ceballos Fernández
20,2,49,102,2515,20.8,0,3,1,11,36,0,0,0,7,0,0,11,584,591,648.9,155,139.6,2.7,20,2,47,85,2794,18.1,0,3,1,7,44,0,0,0,3,0,0,2,481,507,455.6,159,112.3,4,20,2,42,52,1493,12.4,1,2,1,4,31,0,0,0,4,0,0,7,273,309,226.5,103,63.9,2.1,3,2,48,61,1553,12.7,1,1,0,4,20,0,0,0,1,0,0,3,286,349,214,81,218.9,186,42,118,265,75,68.7,237,70,0.4,Cédric,Soares
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,89,106,2004,11.9,5,6,2,5,30,0,0,0,4,0,0,9,353,500.2,135,49,639.4,29,23,624,57,30,176.5,49,27,3,Nicolas,Pépé
,,,,,,,,,,,,,,,,,,,,,,,,3,3,47,5,144,1.1,0,0,0,0,3,0,0,0,0,0,0,0,23,12,29.7,11,5.3,0,3,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,3,3,53,30,622,5.7,1,1,0,2,7,0,0,0,1,0,0,0,105,110.4,373,155,148.3,241,141,185,210,114,44.4,320,144,0.1,Reiss,Nelson
,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,3,81,0.7,0,0,0,0,2,0,0,0,0,0,0,0,8,8.2,5.8,4,1.8,0,3,3,45,4,63,0.9,0,0,0,1,1,0,0,0,0,0,0,0,4,1,2.5,23,2.7,0,3,3,47,41,838,8.7,1,1,0,1,16,0,0,0,2,0,0,0,150,176.8,329,139,165.9,224,134,212,188,102,55.2,282,136,0.2,Joseph,Willock
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,42,39,656,9.3,3,1,0,2,9,0,0,0,1,0,0,5,129,162.8,337,41,36.6,366,54,226,177,49,42.5,327,48,1.8,Gabriel Teodoro,Martinelli Silva
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,53,42,986,7.9,1,2,1,2,16,0,0,0,2,0,0,4,213,201.8,312,120,121.1,258,71,73,317,107,39.8,333,118,1.1,Kieran,Tierney
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,45,1,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,47,71,1746,15.1,1,6,0,7,18,0,0,0,6,0,0,4,259,327.2,227,92,322.5,129,81,248,164,95,89.8,179,92,5.7,Bukayo,Saka
