team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,first_name,second_name,assists_1_17_18,attempted_passes_1_17_18,big_chances_created_1_17_18,big_chances_missed_1_17_18,bonus_1_17_18,bps_1_17_18,clean_sheets_1_17_18,clearances_blocks_interceptions_1_17_18,completed_passes_1_17_18,creativity_1_17_18,dribbles_1_17_18,errors_leading_to_goal_1_17_18,errors_leading_to_goal_attempt_1_17_18,fouls_1_17_18,goals_conceded_1_17_18,goals_scored_1_17_18,ict_index_1_17_18,influence_1_17_18,key_passes_1_17_18,minutes_1_17_18,offside_1_17_18,open_play_crosses_1_17_18,own_goals_1_17_18,penalties_conceded_1_17_18,penalties_missed_1_17_18,penalties_saved_1_17_18,recoveries_1_17_18,red_cards_1_17_18,saves_1_17_18,selected_1_17_18,tackled_1_17_18,tackles_1_17_18,target_missed_1_17_18,threat_1_17_18,total_points_1_17_18,value_1_17_18,winning_goals_1_17_18,yellow_cards_1_17_18,team_code_17_18,element_type_17_18,total_points_17_18,now_cost_17_18
36.0,3.0,46.0,40.0,1036.0,6.0,1.0,1.0,0.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,160.0,168.0,239.3,141.0,54.7,0.1,2415,16.0,3,1,0,11,29,0,0,0,4,1,0,6,383,404.0,557.2,530,149.1,0.6,Anthony,Knockaert,0,4,0,0,0,5,0,0,2,5.2,0,0,0,0,0,0,0.9,2.0,0,13,0,1,0,0,0,0,0,0,0,87634,1,1,0,2.0,1,60,0,0,36,3,88,60
1.0,3.0,92.0,95.0,1553.0,10.3,4.0,6.0,3.0,9.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,302.0,382.8,399.1,579.0,136.2,2.5,1572,16.0,9,6,1,9,13,0,0,0,1,0,0,7,403,535.4,509.3,748,179.5,2.6,Anthony,Martial,1,7,0,0,1,32,0,0,6,11.1,1,0,0,0,0,1,8.4,51.4,1,10,0,0,0,0,0,0,0,0,0,38558,0,0,0,21.0,10,80,0,0,1,3,125,80
1.0,2.0,58.0,120.0,2483.0,20.7,1.0,3.0,2.0,12.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,612.0,547.2,614.8,243.0,140.6,12.4,2741,21.2,3,1,2,16,22,0,0,0,7,0,0,13,660,559.2,438.5,259,125.5,11.7,Antonio,Valencia,0,40,0,0,0,22,1,5,37,17.2,1,0,0,3,0,0,4.5,19.4,1,90,0,1,0,0,0,0,4,0,0,362470,2,0,0,8.0,5,65,0,1,1,2,146,65
21.0,2.0,47.0,34.0,972.0,7.2,0.0,1.0,0.0,3.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,253.0,219.8,126.7,18.0,36.4,0.1,1867,16.2,0,3,1,6,29,0,0,0,5,0,0,2,352,385.0,295.1,128,80.7,1.2,Arthur,Masuaku,0,24,0,0,0,14,0,6,21,1.8,0,0,1,1,2,0,2.2,20.2,0,80,0,0,0,0,0,0,4,0,0,10420,0,3,0,0.0,1,45,0,0,21,2,68,45
91.0,1.0,45.0,120.0,3150.0,26.7,0.0,0.0,2.0,9.0,63.0,0.0,2.0,0.0,2.0,0.0,115.0,7.0,657.0,815.4,10.0,0.0,82.4,6.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.3,Artur,Boruc,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,208181,0,0,0,0.0,0,45,0,0,91,1,0,45
90.0,4.0,46.0,81.0,1774.0,17.6,6.0,3.0,2.0,6.0,27.0,0.0,0.0,0.0,6.0,1.0,0.0,10.0,241.0,328.8,277.1,663.0,125.5,4.3,2150,17.4,9,0,0,5,23,0,0,0,10,0,0,9,290,407.2,274.8,797,145.8,3.2,Ashley,Barnes,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,39759,0,0,0,0.0,0,55,0,0,90,4,92,55
21.0,4.0,50.0,16.0,367.0,3.2,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,30.6,64.2,160.0,24.4,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.4,Ashley,Fletcher,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,41694,0,0,0,0.0,0,45,0,0,21,4,0,45
90.0,3.0,45.0,13.0,551.0,2.9,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,68.0,50.8,64.3,2.0,11.8,0.0,1105,8.1,0,1,0,2,17,0,0,0,2,0,0,1,189,182.4,134.8,90,40.7,0.1,Ashley,Westwood,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,4739,0,0,0,0.0,0,45,0,0,90,3,35,45
11.0,2.0,52.0,127.0,3160.0,24.4,1.0,3.0,2.0,13.0,40.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,739.0,927.6,119.1,289.0,133.9,8.7,1830,10.8,1,0,1,5,31,0,0,0,3,1,0,3,332,518.0,39.0,132,68.9,2.1,Ashley,Williams,0,35,0,0,0,10,0,7,35,0.1,0,0,0,2,0,0,1.8,17.8,0,45,0,0,0,0,0,0,0,0,0,226751,0,0,0,0.0,1,55,0,0,11,2,56,55
1.0,3.0,50.0,26.0,760.0,5.2,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,154.0,147.4,167.0,61.0,37.6,0.1,2444,20.4,2,6,1,9,26,0,0,0,7,0,0,11,479,601.2,502.3,213,131.6,2.4,Ashley,Young,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0.0,0,50,0,0,1,3,98,50
