team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,first_name,second_name
31,2,41,6,270,1.5,0,0,0,0,3,0,0,0,0,0,0,0,37,53.6,33.5,9,9.7,0.2,Pape,Souaré
11,3,56,45,1048,8,1,4,0,3,14,0,0,0,3,0,0,3,172,238,326.7,252,81.8,1.7,Yannick,Bolasie
31,3,51,92,3093,18,0,6,0,7,53,0,0,0,9,0,0,6,500,500.2,941.8,448,188.7,0.7,Jason,Puncheon
31,3,58,149,3019,25.7,7,11,4,7,56,0,0,0,8,0,0,13,481,740.4,606.4,865,221.2,11.9,Wilfried,Zaha
31,3,45,2,90,0.4,0,0,0,0,1,0,0,0,0,0,0,0,8,11.8,31.2,0,4.3,0.1,Mile,Jedinak
31,3,43,40,1160,9.3,1,1,0,2,26,0,0,0,1,0,0,1,201,158.2,109.9,48,31.5,0.4,Joe,Ledley
31,3,47,93,1999,19.8,5,3,1,3,39,0,0,0,5,0,0,8,363,400.4,284.5,300,97.7,1,James,McArthur
31,3,42,4,53,1,0,0,0,0,1,0,0,0,0,0,0,0,17,15.6,14.1,0,3.1,0.3,Jordon,Mutch
31,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonathan,Williams
31,3,42,24,471,5.7,0,1,0,2,13,0,0,0,0,0,0,0,103,71.2,125,44,23.9,0.3,Chung-yong,Lee
31,3,56,91,2125,16.3,4,4,1,7,41,0,0,1,7,0,0,6,411,427.4,568,478,146.8,1.1,Yohan,Cabaye
31,3,53,7,142,1.3,0,0,0,0,5,0,0,0,0,0,0,0,29,21.8,31.6,32,8.7,0,Bakary,Sako
31,3,57,116,2520,20.4,3,7,2,7,38,0,0,0,4,0,0,16,492,552.4,852.4,511,191.3,2.2,Andros,Townsend
31,4,44,16,165,3.6,1,0,0,0,4,0,0,0,0,0,0,0,56,42.4,25.9,84,15.2,1,Fraizer,Campbell
31,4,55,18,412,3.3,2,0,0,0,6,0,0,0,1,0,0,0,59,87.6,36.2,132,25,0.3,Connor,Wickham
11,1,47,89,1737,18.9,0,1,1,10,20,0,0,0,2,0,54,5,407,439.2,10,0,44.9,0.9,Joel,Robles
11,1,47,68,1683,14.5,0,0,1,4,24,1,2,0,2,0,43,3,309,350.4,0.1,0,35.1,1.7,Maarten,Stekelenburg
11,2,58,135,2819,23.3,2,5,1,11,34,0,0,1,4,0,0,15,647,570.8,695,151,141.9,11,Leighton,Baines
11,2,56,133,2316,23.8,4,4,4,10,28,0,0,0,3,0,0,15,548,596,308.9,297,120.3,4,Seamus,Coleman
11,2,49,104,2251,21.2,3,3,4,6,32,0,0,0,4,1,0,16,533,751.4,71.7,278,110.1,7.5,Phil,Jagielka
