team_code_16_17,element_type_16_17,now_cost_16_17,total_points_16_17,minutes_16_17,value_season_16_17,goals_scored_16_17,assists_16_17,dreamteam_count_16_17,clean_sheets_16_17,goals_conceded_16_17,own_goals_16_17,penalties_saved_16_17,penalties_missed_16_17,yellow_cards_16_17,red_cards_16_17,saves_16_17,bonus_16_17,bps_16_17,influence_16_17,creativity_16_17,threat_16_17,ict_index_16_17,selected_by_percent_16_17,team_code_17_18,element_type_17_18,now_cost_17_18,total_points_17_18,minutes_17_18,value_season_17_18,goals_scored_17_18,assists_17_18,dreamteam_count_17_18,clean_sheets_17_18,goals_conceded_17_18,own_goals_17_18,penalties_saved_17_18,penalties_missed_17_18,yellow_cards_17_18,red_cards_17_18,saves_17_18,bonus_17_18,bps_17_18,influence_17_18,creativity_17_18,threat_17_18,ict_index_17_18,selected_by_percent_17_18,minutes_18_19,value_season_18_19,goals_scored_18_19,assists_18_19,dreamteam_count_18_19,clean_sheets_18_19,goals_conceded_18_19,own_goals_18_19,penalties_saved_18_19,penalties_missed_18_19,yellow_cards_18_19,red_cards_18_19,saves_18_19,bonus_18_19,bps_18_19,influence_18_19,creativity_18_19,threat_18_19,ict_index_18_19,selected_by_percent_18_19,first_name,second_name,assists_1_18_19,attempted_passes_1_18_19,big_chances_created_1_18_19,big_chances_missed_1_18_19,bonus_1_18_19,bps_1_18_19,clean_sheets_1_18_19,clearances_blocks_interceptions_1_18_19,completed_passes_1_18_19,creativity_1_18_19,dribbles_1_18_19,errors_leading_to_goal_1_18_19,errors_leading_to_goal_attempt_1_18_19,fouls_1_18_19,goals_conceded_1_18_19,goals_scored_1_18_19,ict_index_1_18_19,influence_1_18_19,key_passes_1_18_19,minutes_1_18_19,offside_1_18_19,open_play_crosses_1_18_19,own_goals_1_18_19,penalties_conceded_1_18_19,penalties_missed_1_18_19,penalties_saved_1_18_19,recoveries_1_18_19,red_cards_1_18_19,saves_1_18_19,selected_1_18_19,tackled_1_18_19,tackles_1_18_19,target_missed_1_18_19,threat_1_18_19,total_points_1_18_19,value_1_18_19,winning_goals_1_18_19,yellow_cards_1_18_19,team_code_18_19,element_type_18_19,total_points_18_19,now_cost_18_19
3.0,3.0,58.0,83.0,1564.0,14.3,2.0,7.0,1.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,393.0,435.4,519.9,416.0,137.5,1.4,14.0,3.0,55.0,94.0,1718.0,17.1,3.0,7.0,0.0,5.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,423.0,548.0,625.1,494.0,166.5,2.2,19,0.3,0,0,0,0,0,0,0,0,0,0,0,0,7,10.2,10.8,19.0,4.0,0.1,Alex,Oxlade-Chamberlain,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,2117,0,0,0,0.0,0,65,0,0,14,3,2,65
6.0,3.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,54.0,40.0,997.0,7.4,1.0,2.0,1.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,168.0,173.6,300.3,213.0,68.7,0.1,2079,14.4,2,0,0,7,40,0,0,0,2,0,0,2,251,297.4,497.9,546.0,134.0,0.1,Alex,Pritchard,0,8,0,0,0,2,0,1,5,4.8,1,0,0,1,2,0,2.3,7.0,0,45,0,1,0,0,0,0,2,0,0,3968,4,1,0,11.0,1,50,0,0,38,3,69,50
97.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,97.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,Alex,Smithies,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,6692,0,0,0,0.0,0,45,0,0,97,1,0,45
80.0,2.0,46.0,94.0,2430.0,20.4,4.0,0.0,3.0,7.0,45.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,541.0,678.0,62.0,302.0,104.2,1.9,80.0,2.0,51.0,112.0,3420.0,22.0,2.0,1.0,1.0,9.0,56.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,662.0,848.4,86.4,254.0,119.4,4.1,1130,4.0,0,0,0,1,26,0,0,0,2,0,0,2,174,259.2,23.2,31.0,31.3,0.1,Alfie,Mawson,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15496,0,0,0,0.0,0,50,0,0,54,2,19,50
36.0,3.0,56.0,60.0,1348.0,8.4,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,227.0,229.4,503.1,427.0,118.0,0.8,36.0,3.0,60.0,11.0,206.0,1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,32.6,83.2,41.0,17.5,0.0,1014,4.9,0,0,0,5,16,0,0,0,2,0,0,0,61,94.4,104.0,162.0,35.5,0.6,Alireza,Jahanbakhsh,0,3,0,0,0,3,0,0,3,14.1,2,0,0,1,0,0,1.7,2.4,1,19,0,0,0,0,0,0,2,0,0,76058,2,0,0,0.0,1,70,0,0,36,3,33,70
14.0,1.0,55.0,141.0,3004.0,23.9,0.0,0.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,623.0,517.6,0.0,0.0,52.0,7.9,14.0,1.0,53.0,136.0,3150.0,25.7,0.0,0.0,0.0,15.0,26.0,0.0,0.0,0.0,1.0,0.0,58.0,4.0,635.0,546.2,0.0,0.0,55.2,9.0,3420,29.8,0,0,1,21,22,0,0,0,1,0,76,9,771,677.0,0.1,0.0,67.6,23.4,Alisson,Ramses Becker,0,31,0,0,1,31,1,1,29,0.0,0,0,0,0,0,0,1.8,17.6,0,90,0,0,0,0,0,0,9,0,2,629624,0,0,0,0.0,7,55,0,0,14,1,176,55
90.0,1.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,90.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,Anders,Lindegaard,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,7630,0,0,0,0.0,0,45,0,0,90,1,0,45
1.0,3.0,62.0,97.0,2465.0,15.6,1.0,6.0,1.0,13.0,18.0,0.0,0.0,0.0,5.0,1.0,0.0,11.0,559.0,593.2,720.8,276.0,159.2,2.2,1.0,3.0,50.0,44.0,1257.0,8.8,0.0,2.0,0.0,5.0,14.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,229.0,294.4,229.4,101.0,62.7,1.3,1397,12.4,2,3,0,5,18,0,0,0,4,0,0,6,302,399.2,234.6,257.0,89.2,0.5,Ander,Herrera,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,9519,0,0,0,0.0,0,50,0,0,1,3,62,50
8.0,2.0,44.0,13.0,224.0,2.8,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,68.2,31.0,43.0,15.3,0.1,8.0,2.0,53.0,79.0,2067.0,14.9,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,475.0,466.6,66.5,109.0,64.3,1.9,615,4.4,0,0,0,3,7,0,0,0,1,0,0,0,133,120.6,8.4,6.0,13.6,0.4,Andreas,Christensen,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,61061,0,0,0,0.0,0,55,0,0,8,2,22,55
1.0,3.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590,6.0,1,1,1,1,13,0,0,0,5,0,0,2,115,132.8,139.5,67.0,33.8,0.3,Andreas,Pereira,0,58,0,0,0,13,0,8,53,5.8,1,0,0,4,1,0,2.8,22.2,0,90,0,0,0,0,0,0,11,0,0,30210,0,0,0,0.0,1,50,0,1,1,3,27,50
