name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
Brahim_Diaz_278,0,0,0,0,0,0,0,0,0,0.0,0,0,278,0,0,325,0,0,0,0.0,17528,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,5,0,0,0,0,0,0,32,0,2472,0,0,0,0,2,0.0,0,-9,2,11,47,True,0,0
Brian_Murphy_537,0,0,0,0,0,0,0,0,0,0.0,0,0,537,0,0,325,0,0,0,0.0,17932,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,13,0,0,0,0,0,0,32,0,12131,0,0,0,0,2,0.0,0,-73,175,248,40,False,0,0
Bright_Enobakhare_436,0,0,0,0,0,0,0,0,0,0.0,0,0,436,0,0,330,0,0,0,0.0,17778,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,14,0,0,0,0,0,0,32,0,6834,0,0,0,1,2,0.0,0,-58,18,76,43,True,0,0
Bruno_Ecuele Manga_92,0,9,0,0,0,7,0,8,7,0.2,0,0,92,0,1,325,1,2,0,1.9,17249,19.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,0,13,0,0,0,0,2,0,32,0,23842,1,0,0,0,2,0.0,1,1000,2500,1500,44,False,0,0
Bruno_Saltor Grau_50,0,36,0,0,0,17,0,3,31,0.8,0,0,50,0,0,265,0,3,0,1.1,17185,10.4,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,0,6,0,0,0,0,7,0,32,0,18563,0,2,0,0,3,0.0,1,-365,40,405,44,False,0,0
Bukayo_Saka_563,0,0,0,0,0,0,0,0,0,0.0,0,0,563,0,0,311,0,0,0,0.0,17968,0.0,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,0,0,0,15,0,0,0,0,0,0,32,0,868,0,0,0,0,2,0.0,0,21,70,49,45,True,0,0
Callum_Hudson-Odoi_131,1,65,1,1,1,35,1,0,60,61.3,1,0,131,0,0,265,0,0,0,16.4,17326,41.8,4,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,3,3,0,0,0,0,9,0,32,0,178899,3,3,0,0,3,61.0,7,20000,26089,6089,42,True,0,0
Callum_Paterson_101,0,0,0,0,0,0,0,0,0,0.0,0,0,101,0,0,325,0,0,0,0.0,17267,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,13,0,0,0,0,0,0,32,0,30528,0,0,0,0,2,0.0,0,-4989,198,5187,49,False,0,0
Callum_Roberts_577,0,0,0,0,0,0,0,0,0,0.0,0,0,577,0,0,311,0,0,0,0.0,17988,0.0,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,0,0,0,1,0,0,0,0,0,0,32,0,50,0,0,0,0,2,0.0,0,-1,4,5,45,False,0,0
Callum_Slattery_570,0,0,0,0,0,0,0,0,0,0.0,0,0,570,0,0,312,0,0,0,0.0,17977,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,3,0,0,0,0,0,0,32,0,153,0,0,0,1,0,0.0,0,15,22,7,45,False,0,0
Callum_Wilson_43,0,10,0,1,0,1,0,2,6,0.6,0,0,43,0,0,317,0,2,0,4.6,17175,10.6,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,1,0,11,0,0,0,0,2,0,32,0,899893,2,0,0,0,2,35.0,2,-91587,41883,133470,65,False,0,0
Calum_Chambers_9,0,57,0,0,0,11,0,7,49,1.6,0,0,9,0,0,329,0,4,0,3.6,17140,16.8,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,90,0,0,18,0,0,0,0,5,0,32,0,61153,0,0,0,1,4,18.0,-1,854,2740,1886,42,False,0,1
Cameron_John_596,0,0,0,0,0,0,0,0,0,0.0,0,0,596,0,0,330,0,0,0,0.0,18016,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,14,0,0,0,0,0,0,32,0,2382,0,0,0,1,2,0.0,0,409,583,174,40,True,0,0
Carlos_SÃÂ¡nchez_518,0,0,0,0,0,0,0,0,0,0.0,0,0,518,0,0,320,0,0,0,0.0,17903,0.0,0,2019-03-30T17:30:00Z,30 Mar 17:30,0,0,0,0,0,8,0,0,0,0,0,0,32,0,8982,0,0,0,2,0,0.0,0,-45,22,67,43,True,0,0
Carl_Jenkinson_581,0,0,0,0,0,0,0,0,0,0.0,0,0,581,0,0,311,0,0,0,0.0,17994,0.0,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,0,0,0,15,0,0,0,0,0,0,32,0,467,0,0,0,0,2,0.0,0,6,30,24,45,True,0,0
Cenk_Tosun_177,0,2,0,0,0,1,0,1,2,0.3,0,0,177,0,0,320,0,0,0,0.2,17395,1.2,0,2019-03-30T17:30:00Z,30 Mar 17:30,0,0,2,2,0,19,0,0,0,0,0,0,32,0,93348,0,0,0,2,0,0.0,1,-386,222,608,64,False,0,0
Cesc_FÃÂ bregas_123,0,0,0,0,0,0,0,0,0,0.0,0,0,123,0,0,265,0,0,0,0.0,17310,0.0,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,0,0,0,3,0,0,0,0,0,0,32,0,21472,0,0,0,0,3,0.0,0,-61,3,64,62,True,0,0
Chancel_Mbemba_316,0,0,0,0,0,0,0,0,0,0.0,0,0,316,0,0,311,0,0,0,0.0,17594,0.0,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,0,0,0,1,0,0,0,0,0,0,32,0,6030,0,0,0,0,2,0.0,0,-24,14,38,40,False,0,0
Charlie_Austin_348,0,0,0,0,0,0,0,0,0,0.0,0,0,348,0,0,312,0,0,0,0.0,17626,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,3,0,0,0,0,0,0,32,0,28447,0,0,0,1,0,0.0,0,329,1420,1091,55,False,0,0
Charlie_Daniels_28,0,36,0,0,0,11,0,2,31,13.1,1,0,28,0,0,317,1,1,0,2.3,17159,9.4,1,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,55,0,0,11,0,0,0,0,3,0,32,0,264812,1,1,0,0,2,0.0,1,2870,12764,9894,41,False,0,0
Charlie_Taylor_74,0,51,0,0,1,26,1,10,34,1.3,3,0,74,0,0,313,0,0,0,3.0,17226,28.2,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,90,0,0,20,0,0,0,0,10,0,32,0,23937,3,0,0,0,2,0.0,7,-341,1516,1857,44,True,0,0
Cheikhou_KouyatÃÂ©_412,0,31,0,0,0,13,0,5,26,0.9,0,0,412,0,0,307,0,1,0,1.3,17737,12.2,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,78,0,0,17,0,0,0,0,8,0,32,0,14641,1,0,0,0,2,0.0,2,347,653,306,47,False,0,0
Christian_Atsu_320,0,0,0,0,0,0,0,0,0,0.0,0,0,320,0,0,311,0,0,0,0.0,17598,0.0,0,2019-04-01T19:00:00Z,01 Apr 20:00,0,0,0,0,0,1,0,0,0,0,0,0,32,0,5149,0,0,0,0,2,0.0,0,-197,34,231,51,False,0,0
Christian_Benteke_152,0,4,0,1,0,-1,0,0,3,0.3,0,0,152,0,0,307,0,0,0,1.0,17367,0.6,0,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,9,0,0,17,0,0,0,0,0,0,32,0,27612,0,0,1,0,2,9.0,1,206,414,208,63,False,0,0
Christian_Eriksen_364,1,59,1,0,3,47,1,1,50,69.3,1,0,364,0,0,307,0,0,1,19.3,17655,67.4,5,2019-04-03T18:45:00Z,03 Apr 19:45,0,0,90,0,2,7,0,0,0,0,8,0,32,0,336896,1,0,2,0,2,56.0,14,-2110,10999,13109,92,True,0,0
Christian_Fuchs_216,0,0,0,0,0,0,0,0,0,0.0,0,0,216,0,0,317,0,0,0,0.0,17446,0.0,0,2019-03-30T15:00:00Z,30 Mar 15:00,0,0,0,0,0,2,0,0,0,0,0,0,32,0,25872,0,0,0,0,2,0.0,0,91,411,320,41,True,0,0
Christian_Kabasele_380,0,0,0,0,0,0,0,0,0,0.0,0,0,380,0,0,329,0,0,0,0.0,17688,0.0,0,2019-04-02T18:45:00Z,02 Apr 19:45,0,0,0,0,0,9,0,0,0,0,0,0,32,0,16417,0,0,0,1,4,0.0,0,30,186,156,44,True,0,0
